2019 3 26 24  34 03.1	31.04	103.27	12	ML	1.2	eq	四川汶川
2019 3 26 8 1 14 44.6	30.32	102.96	20	ML	0.2	eq	四川芦山
2019 3 25 12  52 11.3	31.45	103.97	17	ML	0.4	eq	四川什邡
2019 3 24 24  32 45.3	31.33	103.34	11	ML	0.6	eq	四川汶川
2019 3 24 15  39 20.3	30.82	103.29	13	ML	0.8	eq	四川汶川
2019 3 24 14  55 39.0	30.14	102.73	5	ML	0.1	eq	四川天全
2019 3 24 14  42 45.7	31.48	103.15	20	ML	1.9	eq	四川理县
2019 3 24 3 8 08 20.3	30.40	102.96	18	ML	0.5	eq	四川芦山
2019 3 23 22  37 05.6	30.05	102.04	6	ML	0.5	eq	四川康定
2019 3 23 7 4 04 05.8	30.69	103.43	21	ML	0.6	eq	四川大邑
2019 3 22 19  36 46.6	31.14	103.49	5	ML	0.9	eq	四川汶川
2019 3 22 14  20 27.0	31.72	102.01	13	ML	0.4	eq	四川金川
2019 3 22 12  03 40.4	31.71	103.28	10	ML	0.2	eq	四川理县
2019 3 22 11  06 21.1	31.19	103.49	10	ML	0.3	eq	四川汶川
2019 3 22 8 1 01 51.0	31.39	103.93	5	ML	0.3	eq	四川什邡
2019 3 22 5 3 03 27.5	31.18	103.53	5	ML	0.1	eq	四川汶川
2019 3 22 4 9 09 33.0	31.18	103.53	5	ML	0.3	eq	四川汶川
2019 3 22 4 2 02 25.1	31.56	103.99	17	ML	0.7	eq	四川绵竹
2019 3 22 3 5 57 12.9	31.21	103.88	24	ML	0.7	eq	四川彭州
2019 3 22 3 5 56 42.7	31.26	103.93	11	ML	0.8	eq	四川什邡
2019 3 22 0 1 11 29.9	30.32	103.04	34	ML	2.1	eq	四川芦山
2019 3 21 13  27 49.3	31.14	102.98	14	ML	1.8	eq	四川汶川
2019 3 19 13  42 12.4	31.58	103.31	5	ML	0.9	eq	四川理县
2019 3 19 8 4 40 30.2	31.41	103.88	14	ML	0.4	eq	四川彭州
2019 3 19 4 3 30 40.5	30.32	102.97	18	ML	0.1	eq	四川芦山
2019 3 19 3 8 08 49.2	30.11	102.70	5	ML	0.5	eq	四川天全
2019 3 19 2 2 21 45.7	30.11	102.67	5	ML	0.2	eq	四川天全
2019 3 16 19  46 24.4	31.92	102.13	10	ML	0.4	eq	四川马尔康
2019 3 16 10  28 17.9	31.24	103.16	2	ML	0.6	eq	四川汶川
2019 3 15 21  13 20.8	30.12	102.02	11	ML	0.1	eq	四川康定
2019 3 15 21  38 06.5	30.05	103.05	14	ML	0.1	eq	四川雅安
2019 3 15 17  51 36.2	31.58	103.80	25	ML	0.6	eq	四川茂县
2019 3 14 17  58 22.5	30.08	103.04	11	ML	0.2	eq	四川雨城
2019 3 14 13  57 30.4	31.37	103.37	5	ML	0.7	eq	四川汶川
2019 3 14 3 5 54 51.7	31.22	103.83	23	ML	0.3	eq	四川彭州
2019 3 14 2 1 18 39.3	31.33	103.78	5	ML	0.3	eq	四川彭州
2019 3 13 22  25 39.4	31.31	103.49	5	ML	0.6	eq	四川汶川
2019 3 13 21  32 26.3	31.37	103.73	21	ML	0.3	eq	四川彭州
2019 3 13 20  38 38.2	31.58	103.98	20	ML	0.2	eq	四川绵竹
2019 3 13 14  44 53.3	30.49	102.64	10	ML	0.7	eq	四川宝兴
2019 3 12 15  34 18.5	31.25	103.47	5	ML	0.6	eq	四川汶川
2019 3 11 22  56 35.1	31.59	103.10	3	ML	0.4	eq	四川理县
2019 3 11 20  53 06.8	31.20	103.43	1	ML	0.2	eq	四川汶川
2019 3 11 14  50 21.5	31.01	103.17	12	ML	0.1	eq	四川汶川
2019 3 11 7 1 19 35.6	30.31	102.94	18	ML	1.2	eq	四川芦山
2019 3 9 19 2 23 15.5	31.47	103.14	2	ML	1.0	eq	四川理县
2019 3 9 15 1 17 28.6	31.33	103.82	21	ML	1.4	eq	四川彭州
2019 3 8 21 - 55 21.2	30.82	103.18	22	ML	0.1	eq	四川崇州
2019 3 8 17 2 20 47.6	30.77	102.07	11	ML	0.3	eq	四川小金
2019 3 7 19 9 09 13.5	30.14	103.10	28	ML	0.7	eq	四川名山
2019 3 7 9 51 51 47.7	31.44	103.32	2	ML	0.6	eq	四川理县
2019 3 7 8 32 32 57.3	31.38	103.34	2	ML	0.9	eq	四川汶川
2019 3 7 3 19 19 26.6	31.43	103.94	19	ML	1.1	eq	四川什邡
2019 3 7 0 33 33 56.2	31.27	103.61	20	ML	1.2	eq	四川都江堰
2019 3 6 20 1 11 44.8	31.45	103.93	18	ML	0.1	eq	四川什邡
2019 3 6 17 - 30 39.0	31.29	103.14	7	ML	1.1	eq	四川理县
2019 3 5 23 2 28 44.3	30.81	103.30	12	ML	0.4	eq	四川崇州
2019 3 5 22 - 31 36.5	31.27	103.33	13	ML	0.2	eq	四川汶川
2019 3 5 5 26 26 31.3	31.00	103.22	17	ML	0.5	eq	四川汶川
2019 3 5 4 12 12 09.3	31.29	103.43	16	ML	2.5	eq	四川汶川
2019 3 4 12 8 08 26.1	31.31	103.24	5	ML	0.5	eq	四川汶川
2019 3 3 22 3 02 54.7	30.05	103.14	35	ML	0.6	eq	四川名山
2019 3 3 22 - 53 04.4	31.18	103.50	10	ML	0.1	eq	四川汶川
2019 3 3 13 5 05 58.6	30.83	103.48	5	ML	1.2	eq	四川崇州
2019 3 3 12 1 16 24.1	31.59	103.09	4	ML	0.3	eq	四川理县
2019 3 3 10 2 25 41.0	31.25	103.40	15	ML	0.9	eq	四川汶川
2019 3 2 19 1 17 10.4	30.95	103.42	6	ML	0.1	eq	四川汶川
2019 3 2 3 15 15 52.6	31.33	103.59	25	ML	1.2	eq	四川都江堰
2019 3 2 2 57 57 54.8	31.33	103.61	21	ML	0.3	eq	四川都江堰
2019 3 1 4 58 58 06.9	31.01	103.34	2	ML	0.7	eq	四川汶川
2019 2 28 5 5 56 56.2	31.34	103.58	12	ML	0.7	eq	四川都江堰
2019 2 28 5 2 29 21.5	31.36	103.20	5	ML	1.0	eq	四川理县
2019 2 28 3 2 22 29.8	30.22	102.04	12	ML	0.5	eq	四川康定
2019 2 27 20  41 58.5	30.69	102.68	16	ML	1.2	eq	四川宝兴
2019 2 27 8 5 56 17.0	30.33	102.88	13	ML	0.7	eq	四川宝兴
2019 2 27 7 2 25 25.2	31.28	103.63	4	ML	0.1	eq	四川都江堰
2019 2 27 4 3 38 02.5	31.13	103.50	6	ML	0.7	eq	四川汶川
2019 2 27 1 8 08 32.7	30.83	103.23	24	ML	1.0	eq	四川崇州
2019 2 26 18  06 14.1	31.73	103.04	7	ML	0.1	eq	四川理县
2019 2 26 17  22 10.3	30.99	103.23	19	ML	0.6	eq	四川汶川
2019 2 26 15  40 57.7	30.92	102.87	19	ML	1.3	eq	四川宝兴
2019 2 26 11  36 14.0	31.21	103.56	20	ML	2.9	eq	四川汶川
2019 2 26 5 1 01 16.8	31.31	103.43	5	ML	0.2	eq	四川汶川
2019 2 25 22  24 55.9	31.06	103.28	6	ML	0.5	eq	四川汶川
2019 2 24 5 3 35 26.6	30.90	103.27	1	ML	0.4	eq	四川汶川
2019 2 23 21  55 27.2	31.49	103.20	5	ML	0.1	eq	四川理县
2019 2 23 13  57 34.1	31.78	102.26	12	ML	1.2	eq	四川马尔康
2019 2 23 13  55 03.0	31.77	102.27	12	ML	2.5	eq	四川马尔康
2019 2 22 24  47 49.2	31.16	103.64	10	ML	1.1	eq	四川都江堰
2019 2 22 18  57 45.0	31.27	103.74	13	ML	0.1	eq	四川彭州
2019 2 22 9 5 55 05.8	31.43	103.92	19	ML	0.1	eq	四川什邡
2019 2 21 22  15 08.0	31.04	103.28	12	ML	0.5	eq	四川汶川
2019 2 21 11  06 06.6	31.21	103.49	17	ML	1.3	eq	四川汶川
